Code,Official Name,Simple Name,Category,Tier,Billing Unit,Setup Fee,Recurring Target (CAD),Annual (x12),Month-to-Month (+20%),Bundle Role,Confidence,Notes
C11-S04,AI Transformation Roadmap,AI Roadmap,AI Business Discovery & Transformation,T2,Per-project,-,"$5,000",N/A - project/one-time,N/A,Growth / Enterprise,Estimated,Comprehensive roadmap; upper end of discovery-tier pricing.
C11-S05,AI Adoption & Optimization,AI Optimizer,AI Business Discovery & Transformation,T2,Retainer/mo,-,"$1,500/mo","$18,000","$1,800.00/mo",Growth / Enterprise,Market-verified,"SMB AI advisory retainers $2,000-$8,000/mo; priced at accessible entry point."
C12-S01,AI Workflow Automation,Flow Automator,AI Automation & Integration,T2,Per-project or retainer,-,"$6,000/project or $2,000/mo",N/A - project/one-time,N/A,À la carte / Growth,Market-verified,"Single workflow automation builds run $5,000-$15,000."
C12-S02,AI Agent Integration,Agent Connect,AI Automation & Integration,T2,Per-project,-,"$8,000",N/A - project/one-time,N/A,Growth / Enterprise,Market-verified,Legacy integration runs $15K-$25K; lower for standard SaaS-to-SaaS scope.
C12-S03,Business System Integration,System Bridge,AI Automation & Integration,T2,Per-project,-,"$7,000",N/A - project/one-time,N/A,Growth / Enterprise,Estimated,Similar band to Agent Connect.
C12-S04,Intelligent Process Orchestration,AI Orchestrator,AI Automation & Integration,T2,Retainer/mo,-,"$2,500/mo","$30,000","$3,000.00/mo",Enterprise,Estimated,"Ongoing multi-workflow orchestration, upper-mid retainer."
C12-S05,AI Automation Optimization,Automation Optimizer,AI Automation & Integration,T2,Retainer/mo,-,"$1,200/mo","$14,400","$1,440.00/mo",Growth / Enterprise,Estimated,Lighter ongoing optimization retainer.
C13-S01,AI Knowledge Management,Knowledge Hub,"AI Knowledge, Data & Intelligence",T2,Setup + retainer/mo,"$3,000","$1,500/mo","$18,000","$1,800.00/mo",Growth / Enterprise,Revised,Initial knowledge base build is real work — setup fee added (adopted from GPT draft's pattern).
C13-S02,AI Data Intelligence,Data Insight,"AI Knowledge, Data & Intelligence",T2,Setup + retainer/mo,"$2,500","$2,000/mo","$24,000","$2,400.00/mo",Growth / Enterprise,Revised,Initial data pipeline/integration work justifies a modest setup fee.
C13-S03,AI Knowledge Discovery,Knowledge Finder,"AI Knowledge, Data & Intelligence",T2,Retainer/mo,-,"$1,200/mo","$14,400","$1,440.00/mo",Growth / Enterprise,Estimated,"Search/discovery layer, lighter retainer."
C13-S04,AI Analytics & Insights,Insight Engine,"AI Knowledge, Data & Intelligence",T2,Retainer/mo,-,"$2,200/mo","$26,400","$2,640.00/mo",Growth / Enterprise,Estimated,Analytics/reporting layer.
C13-S05,AI Decision Intelligence,Decision Engine,"AI Knowledge, Data & Intelligence",T2,Retainer/mo,-,"$2,500/mo","$30,000","$3,000.00/mo",Enterprise,Estimated,Highest-value knowledge-tier service.
C14-S01,IT Service Management,IT Manager,IT & Technology Operations,T2,Per-user/mo,-,$35/user/mo,$420/user/yr,$42.00/user/mo,Growth / Enterprise,Market-verified,REVISED vs GPT draft: their $100/user/mo applied the FULL managed-IT bundle rate to one of five C14 services — double-counts against the whole-bundle benchmark.
C14-S02,IT Infrastructure Operations,Infrastructure Ops,IT & Technology Operations,T2,Per-environment/mo,-,$500/mo,"$6,000",$600.00/mo,Growth / Enterprise,Estimated,Infrastructure ops layer.
C14-S03,IT Asset & Configuration Management,Asset Control,IT & Technology Operations,T2,Per-user/mo,-,$10/user/mo,$120/user/yr,$12.00/user/mo,Essential / Growth,Estimated,"Asset/config tracking, lighter-touch."
C14-S04,IT Support & Service Desk,IT Helpdesk,IT & Technology Operations,T2,Per-user/mo,-,$40/user/mo,$480/user/yr,$48.00/user/mo,Growth / Enterprise,Market-verified,REVISED vs GPT draft: same double-counting issue as C14-S01 — see note there.
C14-S05,IT Operations Monitoring & Optimization,IT Watch,IT & Technology Operations,T2,Per-environment/mo,-,$400/mo,"$4,800",$480.00/mo,Growth / Enterprise,Estimated,Ops monitoring layer.
C15-S01,Customer Experience Automation,Customer Care,Customer & Revenue Automation,T2,Retainer/mo,-,"$1,800/mo","$21,600","$2,160.00/mo",Business Automation,Estimated,"CX automation retainer, mid-band."
C15-S02,Lead & Sales Automation,Sales Flow,Customer & Revenue Automation,T2,Retainer/mo,-,"$2,200/mo","$26,400","$2,640.00/mo",Business Automation,Estimated,Revenue-adjacent; priced above CX baseline given direct pipeline impact.
C15-S03,Customer Onboarding Automation,Onboard,Customer & Revenue Automation,T2,Retainer/mo,-,"$1,500/mo","$18,000","$1,800.00/mo",Business Automation,Estimated,Narrower scope than full CX automation.
C15-S04,Customer Retention & Engagement,Customer Pulse,Customer & Revenue Automation,T2,Retainer/mo,-,"$1,800/mo","$21,600","$2,160.00/mo",Business Automation,Estimated,"Retention-focused retainer, matches CX band."
C15-S05,Revenue Intelligence & Optimization,Revenue Insight,Customer & Revenue Automation,T2,Retainer/mo,-,"$2,500/mo","$30,000","$3,000.00/mo",Business Automation,Estimated,Highest-value C15 service; direct revenue-optimization positioning.
